best_bid_amount,best_ask_amount,bid_iv,ask_iv,underlying_index,underlying_price,mark_iv,interest_rate,best_bid_price,best_ask_price,open_interest,max_price,min_price,last_price,asks,bids,settlement_price,instrument_name,mark_price,index_price,change_id,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,settlement_period
58.0,71.0,30.09,32.22,SYN.ETH-5FEB24,2304.2037,31.14,0.0,0.0002,0.0003,372.0,0.015,0.0001,0.0002,"[[0.0003, 71.0], [0.0006, 100.0]]","[[0.0002, 58.0], [0.0001, 294.0]]",0.000436,ETH-5FEB24-2400-C,0.0002,2302.96,5968323255,1706969625147,0.00325,-0.56729,0.1077,0.00137,0.02981,809.2,505.0,-77.7778,0.0002,0.0014,day
3.0,0.0,0.0,0.0,SYN.ETH-5FEB24,2304.2637,31.14,0.0,0.0225,0.0,0.0,0.075,0.012,,[],"[[0.0225, 3.0]]",0.03718,ETH-5FEB24-2400-P,0.0418,2302.94,5968327550,1706969626152,-0.11117,-0.96581,0.10794,0.00137,-0.97011,0.0,0.0,,,,day
216.0,11.0,38.58,42.46,SYN.ETH-5FEB24,2304.2637,41.64,0.0,0.0001,0.0002,152.0,0.015,0.0001,0.0001,"[[0.0002, 11.0], [0.0005, 362.0], [0.0006, 2.0]]","[[0.0001, 216.0]]",0.000252,ETH-5FEB24-2450-C,0.0002,2302.94,5968327011,1706969626151,0.00186,-0.40351,0.06732,0.00064,0.01707,35.02,152.0,0.0,0.0001,0.0001,day
10.0,0.0,0.0,0.0,SYN.ETH-5FEB24,2304.2346,41.65,0.0,0.0005,0.0,0.0,0.098,0.0325,,[],"[[0.0005, 10.0]]",0.058595,ETH-5FEB24-2450-P,0.0634,2302.93,5968317541,1706969627158,-0.11496,-0.80488,0.06727,0.00064,-0.98294,0.0,0.0,,,,day
0.0,10.0,0.0,49.43,SYN.ETH-5FEB24,2304.2346,48.27,0.0,0.0,0.0001,1.0,0.015,0.0001,0.0001,"[[0.0001, 10.0], [0.0002, 1.0], [0.0004, 720.0]]",[],0.00018,ETH-5FEB24-2500-C,0.0001,2302.93,5968321762,1706969627158,0.00082,-0.18912,0.03317,0.00027,0.00756,2.08,9.0,0.0,0.0001,0.0001,day
0.0,21.0,0.0,82.62,SYN.ETH-5FEB24,2304.2346,48.27,0.0,0.0,0.087,0.0,0.1205,0.0535,,"[[0.087, 21.0]]",[],0.080121,ETH-5FEB24-2500-P,0.085,2302.93,5968328140,1706969627158,-0.11838,-0.46009,0.03317,0.00027,-0.99244,0.0,0.0,,,,day
0.0,0.0,0.0,0.0,SYN.ETH-6FEB24,2304.9785,38.36,0.0,0.0,0.0,0.0,0.096,0.0385,,[],[],,ETH-6FEB24-2150-C,0.0674,2302.93,0,1706969627158,0.15837,-0.6008,0.08584,0.00056,0.98261,0.0,0.0,,,,day
408.0,3.0,34.62,40.48,SYN.ETH-6FEB24,2304.9685,38.35,0.0,0.0001,0.0003,0.0,0.015,0.0001,,"[[0.0003, 3.0], [0.0004, 136.0], [0.0005, 272.0], [0.0007, 361.0], [0.0015, 718.0]]","[[0.0001, 408.0]]",,ETH-6FEB24-2150-P,0.0002,2302.89,5968316201,1706969628167,-0.00305,-0.48611,0.08585,0.00056,-0.01739,0.0,0.0,,,,day
3.0,0.0,0.0,0.0,SYN.ETH-6FEB24,2304.9685,31.98,0.0,0.025,0.0,0.0,0.0755,0.017,,[],"[[0.025, 3.0]]",,ETH-6FEB24-2200-C,0.0461,2302.89,5968314331,1706969628166,0.1573,-1.10357,0.18913,0.00148,0.95505,0.0,0.0,,,,day
163.0,366.0,28.91,35.01,SYN.ETH-6FEB24,2304.9285,31.98,0.0,0.0003,0.0008,23.0,0.0155,0.0001,0.0004,"[[0.0008, 366.0], [0.0009, 152.0], [0.0011, 704.0], [0.002, 704.0]]","[[0.0003, 163.0], [0.0002, 678.0], [0.0001, 497.0]]",,ETH-6FEB24-2200-P,0.0005,2302.94,5968326820,1706969629173,-0.00787,-1.10429,0.18927,0.00148,-0.04499,30.43,33.0,0.0,0.0004,0.0004,day
4.0,0.0,0.0,0.0,SYN.ETH-6FEB24,2304.9285,31.52,0.0,0.03,0.0,0.0,0.0655,0.0085,,[],"[[0.03, 4.0]]",,ETH-6FEB24-2225-C,0.0359,2302.94,5968310505,1706969629174,0.15026,-1.95262,0.33955,0.0027,0.90423,0.0,0.0,,,,day
140.0,333.0,29.8,33.2,SYN.ETH-6FEB24,2304.9285,31.52,0.0,0.001,0.0015,0.0,0.0195,0.0001,,"[[0.0015, 333.0], [0.0016, 188.0], [0.0018, 678.0]]","[[0.001, 140.0], [0.0009, 140.0], [0.0008, 359.0], [0.0005, 18.0], [0.0002, 60.0]]",,ETH-6FEB24-2225-P,0.0012,2302.94,5968329152,1706969629173,-0.01679,-1.95262,0.33955,0.0027,-0.09577,0.0,0.0,,,,day
3.0,12.0,0.0,44.52,SYN.ETH-6FEB24,2304.9285,29.09,0.0,0.003,0.03,0.0,0.056,0.0024,,"[[0.03, 12.0], [0.0305, 12.0]]","[[0.003, 3.0]]",,ETH-6FEB24-2250-C,0.0261,2302.94,5968328545,1706969629173,0.13979,-2.64261,0.49792,0.00429,0.83388,0.0,0.0,,,,day
175.0,413.0,27.91,30.22,SYN.ETH-6FEB24,2304.9285,29.09,0.0,0.002,0.0025,3.0,0.0235,0.0001,0.0019,"[[0.0025, 413.0], [0.0027, 6.0], [0.0028, 356.0], [0.0029, 100.0]]","[[0.002, 175.0], [0.0019, 352.0], [0.0018, 492.0], [0.0016, 6.0], [0.0008, 635.0]]",,ETH-6FEB24-2250-P,0.0022,2302.94,5968328005,1706969629174,-0.02914,-2.64261,0.49792,0.00429,-0.16612,170.79,39.0,-5.0,0.0018,0.002,day
10.0,0.0,0.0,0.0,SYN.ETH-6FEB24,2304.9285,28.57,0.0,0.0005,0.0,0.0,0.047,0.0005,,[],"[[0.0005, 10.0]]",,ETH-6FEB24-2275-C,0.0176,2302.94,5968317959,1706969629173,0.11903,-3.59001,0.68856,0.00604,0.70549,0.0,0.0,,,,day
136.0,171.0,27.71,29.39,SYN.ETH-6FEB24,2304.9285,28.57,0.0,0.0044,0.0049,217.0,0.03,0.0001,0.0044,"[[0.0049, 171.0], [0.005, 218.0], [0.0055, 575.0], [0.007, 540.0], [0.01, 10.0]]","[[0.0044, 136.0], [0.0043, 346.0], [0.004, 346.0], [0.0039, 271.0], [0.0036, 11.0], [0.003, 539.0]]",,ETH-6FEB24-2275-P,0.0047,2302.94,5968328911,1706969629173,-0.05177,-3.59001,0.68856,0.00604,-0.29451,3329.73,361.0,12.8205,0.0039,0.0044,day
602.0,244.0,25.75,31.56,SYN.ETH-6FEB24,2304.9285,28.37,0.0,0.01,0.012,50.0,0.0385,0.0001,0.0115,"[[0.012, 244.0], [0.0135, 480.0]]","[[0.01, 602.0]]",,ETH-6FEB24-2300-C,0.0109,2302.94,5968328386,1706969629173,0.09149,-4.10334,0.79282,0.00701,0.53958,7724.07,292.0,0.0,0.0115,0.0115,day
365.0,993.0,26.15,30.51,SYN.ETH-6FEB24,2304.9285,28.37,0.0,0.008,0.0095,224.0,0.0375,0.0001,0.0085,"[[0.0095, 993.0], [0.0105, 483.0]]","[[0.008, 365.0], [0.0075, 827.0], [0.007, 127.0], [0.0065, 483.0]]",,ETH-6FEB24-2300-P,0.0088,2302.94,5968328651,1706969629173,-0.08119,-4.10334,0.79282,0.00701,-0.46042,6061.25,323.0,6.25,0.008,0.0085,day
