best_bid_amount,best_ask_amount,ask_iv,bid_iv,underlying_index,underlying_price,mark_iv,best_bid_price,best_ask_price,interest_rate,mark_price,open_interest,max_price,min_price,settlement_price,last_price,asks,bids,instrument_name,index_price,change_id,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,settlement_period,Expiration Date,Strike Price
83.9,96.7,56.46,54.32,BTC-29NOV24,68441.05,55.38,0.013,0.0145,0.0,0.0137,158.8,0.0475,0.0001,0.01774277,0.0146,"[[0.0145, 96.7]]","[[0.013, 83.9]]",BTC-29NOV24-58000-P,66858.36,29188388142,1729886284801,-10.28086,-38.51868,47.99994,2e-05,-0.14517,24645.42,25.0,0.0,0.0146,0.0146,month,29NOV24,58000
45.3,45.8,57.85,50.68,BTC-29NOV24,68441.05,55.26,0.1395,0.1455,0.0,0.1433,33.6,0.1915,0.1045,0.12692762,0.1215,"[[0.1455, 45.8]]","[[0.1395, 45.3], [0.0315, 0.1]]",BTC-29NOV24-60000-C,66858.36,29188408704,1729886284698,42.81004,-46.46309,58.01432,2e-05,0.80501,0.0,0.0,,,,month,29NOV24,60000
47.5,90.4,55.32,53.54,BTC-29NOV24,68441.05,55.26,0.0185,0.02,0.0,0.02,82.6,0.059,0.005,0.02474403,0.024,"[[0.02, 90.4]]","[[0.0185, 47.5]]",BTC-29NOV24-60000-P,66858.36,29188426801,1729886284801,-13.90528,-46.46328,58.01339,2e-05,-0.19499,7478.65,4.6,0.0,0.024,0.024,month,29NOV24,60000
64.5,94.9,55.79,53.84,BTC-29NOV24,68441.05,55.26,0.0155,0.017,0.0,0.0166,41.7,0.053,0.0016,0.02099533,0.0135,"[[0.017, 94.9]]","[[0.0155, 64.5]]",BTC-29NOV24-59000-P,66858.36,29188223374,1729886284801,-12.00396,-42.46611,53.03539,2e-05,-0.16891,10537.86,11.6,0.0,0.0135,0.0135,month,29NOV24,59000
52.6,2.0,56.37,50.83,BTC-29NOV24,68441.21,55.26,0.1285,0.1335,0.0,0.1325,32.2,0.1815,0.0935,0.11638639,0.111,"[[0.1335, 2.0]]","[[0.1285, 52.6]]",BTC-29NOV24-61000-C,66858.39,29188426968,1729886285705,41.70289,-50.26984,62.7725,3e-05,0.7771,0.0,0.0,,,,month,29NOV24,61000
49.4,59.1,55.53,53.88,BTC-29NOV24,68441.21,55.26,0.0225,0.024,0.0,0.0238,47.0,0.0655,0.007,0.029168,0.019,"[[0.024, 59.1]]","[[0.0225, 49.4]]",BTC-29NOV24-61000-P,66858.39,29188407899,1729886285705,-15.95743,-50.26956,62.77342,3e-05,-0.2229,85782.02,54.2,-33.3333,0.019,0.0305,month,29NOV24,61000
6.0,2.0,55.61,52.54,BTC-29NOV24,68441.21,55.26,0.1195,0.1225,0.0,0.1221,66.8,0.172,0.083,0.10649615,0.1015,"[[0.1225, 2.0], [0.2, 12.0]]","[[0.1195, 6.0], [0.0315, 0.1]]",BTC-29NOV24-62000-C,66858.39,29188426931,1729886285705,40.45786,-53.82823,67.21591,3e-05,0.74753,0.0,0.0,,,,month,29NOV24,62000
72.0,27.8,55.22,53.68,BTC-29NOV24,68441.38,55.25,0.0265,0.028,0.0,0.028,109.7,0.072,0.009,0.03424373,0.0335,"[[0.028, 27.8]]","[[0.0265, 72.0]]",BTC-29NOV24-62000-P,66858.44,29188382108,1729886286815,-18.14764,-53.81956,67.2169,3e-05,-0.25246,46018.8,20.0,0.0,0.0335,0.035,month,29NOV24,62000
6.0,4.0,55.92,52.54,BTC-29NOV24,68441.38,55.25,0.1095,0.113,0.0,0.1123,31.3,0.163,0.0735,0.09714871,0.102,"[[0.113, 4.0]]","[[0.1095, 6.0], [0.0315, 0.1]]",BTC-29NOV24-63000-C,66858.44,29188408452,1729886286712,39.09097,-57.05547,71.25402,3e-05,0.71654,0.0,0.0,,,,month,29NOV24,63000
10.3,18.6,55.74,53.91,BTC-29NOV24,68441.38,55.25,0.1015,0.1035,0.0,0.103,95.3,0.154,0.0645,0.08835109,0.1035,"[[0.1035, 18.6]]","[[0.1015, 10.3]]",BTC-29NOV24-64000-C,66858.44,29188427218,1729886286815,37.61176,-59.90843,74.81545,3e-05,0.68435,100918.98,16.5,16.2921,0.089,0.1035,month,29NOV24,64000
75.7,97.4,55.44,53.51,BTC-29NOV24,68441.38,55.25,0.031,0.033,0.0,0.0328,52.6,0.079,0.011,0.03985347,0.027,"[[0.033, 97.4]]","[[0.031, 75.7]]",BTC-29NOV24-63000-P,66858.44,29188369586,1729886286815,-20.46218,-57.05414,71.25666,3e-05,-0.28346,67386.42,37.0,-14.2857,0.027,0.0315,month,29NOV24,63000
34.4,23.9,55.18,53.81,BTC-29NOV24,68441.38,55.25,0.0365,0.038,0.0,0.0381,49.6,0.087,0.014,0.04602184,0.032,"[[0.038, 23.9]]","[[0.0365, 34.4]]",BTC-29NOV24-64000-P,66858.44,29188370683,1729886286712,-22.88612,-59.90638,74.81891,3e-05,-0.31565,158944.2,61.9,-32.6316,0.032,0.0475,month,29NOV24,64000
